,precision,recall,f1-score,support
angry,0.0,0.0,0.0,15.0
disgust,0.0,0.0,0.0,15.0
fear,1.0,0.2,0.3333333333333333,15.0
happy,0.30303030303030304,0.6666666666666666,0.4166666666666667,15.0
neutral,0.5581395348837209,0.8,0.6575342465753424,30.0
sad,0.16129032258064516,0.3333333333333333,0.21739130434782608,15.0
surprise,0.5,0.3333333333333333,0.4,15.0
accuracy,0.39166666666666666,0.39166666666666666,0.39166666666666666,0.39166666666666666
macro avg,0.3603514514992384,0.33333333333333337,0.28927507870330976,120.0
weighted avg,0.3850749619222988,0.39166666666666666,0.33530747468731387,120.0
