,precision,recall,f1-score,support
angry,0.9714285714285714,0.5666666666666667,0.7157894736842105,60.0
disgust,0.45038167938931295,0.9833333333333333,0.6178010471204188,60.0
fear,1.0,0.016666666666666666,0.03278688524590164,60.0
happy,0.2682926829268293,0.18333333333333332,0.21782178217821782,60.0
neutral,0.5862068965517241,0.2833333333333333,0.38202247191011235,60.0
sad,0.3493975903614458,0.9666666666666667,0.5132743362831859,60.0
surprise,0.7647058823529411,0.21666666666666667,0.33766233766233766,60.0
accuracy,0.4595238095238095,0.4595238095238095,0.4595238095238095,0.4595238095238095
macro avg,0.6272019004301178,0.45952380952380956,0.4024511905834835,420.0
weighted avg,0.6272019004301179,0.4595238095238095,0.40245119058348355,420.0
