emotion,precision,recall,f1_score,support
neutral,0.6363636363636364,0.875,0.7368421052631579,16
calm,0.75,0.84375,0.7941176470588235,32
happy,0.55,0.34375,0.4230769230769231,32
sad,0.6923076923076923,0.5625,0.6206896551724138,32
angry,0.5454545454545454,0.9375,0.6896551724137931,32
fearful,1.0,0.59375,0.7450980392156863,32
disgust,0.75,0.5625,0.6428571428571429,32
surprised,0.7368421052631579,0.875,0.8,32
macro avg,0.7076209974236289,0.69921875,0.6815420856322425,240
weighted avg,0.7123714881609619,0.6875,0.6778554176568482,240
