emotion,precision,recall,f1_score,support
neutral,0.6666666666666666,0.5,0.5714285714285714,16
calm,0.62,0.96875,0.7560975609756098,32
happy,0.6896551724137931,0.625,0.6557377049180327,32
sad,0.7916666666666666,0.59375,0.6785714285714286,32
angry,0.7317073170731707,0.9375,0.821917808219178,32
fearful,0.8695652173913043,0.625,0.7272727272727273,32
disgust,0.8333333333333334,0.625,0.7142857142857143,32
surprised,0.7837837837837838,0.90625,0.8405797101449275,32
macro avg,0.7482972696660899,0.72265625,0.7207364032270237,240
weighted avg,0.7537393098660513,0.7375,0.7306902586802538,240
