emotion,precision,recall,f1_score,support
neutral,0.6428571428571429,0.5625,0.6,16
calm,0.6122448979591837,0.9375,0.7407407407407407,32
happy,0.7307692307692307,0.59375,0.6551724137931034,32
sad,0.76,0.59375,0.6666666666666666,32
angry,0.6521739130434783,0.9375,0.7692307692307693,32
fearful,0.9166666666666666,0.6875,0.7857142857142857,32
disgust,0.9473684210526315,0.5625,0.7058823529411765,32
surprised,0.7567567567567568,0.875,0.8115942028985508,32
macro avg,0.7523546286381364,0.71875,0.7168751789981616,240
weighted avg,0.7596544610235358,0.7291666666666666,0.7246668575980392,240
