emotion,precision,recall,f1_score,support
neutral,0.6111111111111112,0.6875,0.6470588235294118,16
calm,0.6041666666666666,0.90625,0.725,32
happy,0.7142857142857143,0.625,0.6666666666666666,32
sad,0.8181818181818182,0.5625,0.6666666666666666,32
angry,0.6521739130434783,0.9375,0.7692307692307693,32
fearful,0.9166666666666666,0.6875,0.7857142857142857,32
disgust,0.9444444444444444,0.53125,0.68,32
surprised,0.7777777777777778,0.875,0.8235294117647058,32
macro avg,0.7548510140222098,0.7265625,0.7204833279465632,240
weighted avg,0.7644336742162829,0.7291666666666666,0.7253782949077067,240
