emotion,precision,recall,f1_score,support
neutral,0.5833333333333334,0.4375,0.5,16
calm,0.5384615384615384,0.875,0.6666666666666666,32
happy,0.7857142857142857,0.6875,0.7333333333333333,32
sad,0.6923076923076923,0.5625,0.6206896551724138,32
angry,0.6666666666666666,0.9375,0.7792207792207793,32
fearful,0.9130434782608695,0.65625,0.7636363636363637,32
disgust,0.9523809523809523,0.625,0.7547169811320755,32
surprised,0.8181818181818182,0.84375,0.8307692307692308,32
macro avg,0.7437612206633946,0.703125,0.7061291262413578,240
weighted avg,0.7544564131520654,0.7208333333333333,0.7198710679907817,240
