actor_id,number_of_files,total_duration,split
1,60,224.9927,train
2,60,227.2616,train
3,60,225.4263,train
4,60,217.8186,train
5,60,224.125,train
6,60,227.1279,train
7,60,224.9591,train
8,60,223.5914,train
9,60,209.3104,train
10,60,224.859,train
11,60,206.3409,train
12,60,225.1932,train
13,60,199.7011,train
14,60,220.7551,train
15,60,209.9779,train
16,60,223.8246,train
17,60,220.1879,validation
18,60,224.9594,validation
19,60,232.2667,validation
20,60,223.5579,validation
21,60,235.4029,test
22,60,223.2914,test
23,60,216.8509,test
24,60,237.2049,test
